Date,Case,Category,Incident,Location,Synopsis,Disposition
"5/22/19 8:37","19-01398","DISORDERLY CONDUCT","PROWLING/PRIV PROP","STRUCTURE C","OCCURRED: 05/22/19 0859 HOURS LIFETON, DIANE (FH-55-O) ARRESTED FOR PROWLING AND PROVIDING FALSE INFORMATION TO A PEACE OFFICER, STRUCTURE C. TO SANTA RITA JAIL.","CLOSED BY ARREST"
"5/22/19 9:04","","DISORDERLY CONDUCT","LODGING","BANWAY LOT","","FIELD IDENTIFICATION CARD"
"5/22/19 9:20","","TRAFFIC STOP","TRAFFIC STOP","BAN IFO REC SPRT FAC","","CLOSED BY CITATION"
"5/22/19 9:44","","PEDESTRIAN STOP","SUSPECT STOP","UCPD","","CLOSED"
"5/22/19 10:02","","MAINTENANCE ISSUE","CAMPUS CONDITION -ELEVATOR","BWW","","CLOSED"
"5/22/19 10:05","","SUSPICIOUS EVENT","SUSPICIOUS PERSON - REPORT","UNIT-1","","CLOSED"
"5/22/19 10:31","19-01399","LARCENY/THEFT","AUTO BURGLARY -REPORT","FOOTHILL LOT","OCCURRED: 05/21/19 2100-2230 HOURS (MWA-O) REPORTS AUTO BURGLARY VIA WINDOW SMASH TO HIS BLACK FORD EXPEDITION, FOOTHILL LOT. TOTAL LOSS OF $1180.00","UNDER INVESTIGATION"
"5/22/19 12:04","","WELFARE CHECK","CHECK WELFARE- 911 CALL","MINOR HALL","","CLOSED"
"5/22/19 12:37","","SEX OFFENSES","INDECENT EXPOSURE","UPPER SPROUL PLAZA","","CLOSED"
"5/22/19 12:41","19-01400","LARCENY/THEFT","PETTY THEFT -REPORT","UVA-110","OCCURRED:05/14/19 - 05/18/19 (MW-23-S) VICTIM OF PHONE SCAM, UVA-110. LOSS OF $150.00","UNDER INVESTIGATION"
"5/22/19 13:25","","ALL OTHER OFFENSES","RULE VIOLATION","UNDERHILL LOT","","CLOSED"
"5/22/19 14:43","19-01401","MOTOR VEHICLE THEFT","RECOVERED STOLEN VEHICLE","EL CERRITO BART","OCCURRED: 05/22/19 1310 HOURS (MW-32-O) REPORTS THE THEFT/RECOVERY OF A BLUE EZ GO GOLF CART, EDWARDS TUNNEL.","UNDER INVESTIGATION"
"5/22/19 15:51","19-01402","FORGERY AND COUNTERFEITING","FRAUDULENT USE OF CREDIT CARD","UNIT-1","OCCD 05/12/2019, UNK TIME (MW-55-E) REPORTS FRAUDULENT USE OF HIS UC BLU CARD, UNIT-1.","UNDER INVESTIGATION"
"5/22/19 16:37","19-01403","LARCENY/THEFT","PETTY THEFT -REPORT","GREEK THEATER","OCCURRED: 05/22/19 1400-1637 HOURS (FA-23-O) REPORTS THE THEFT OF HER BLUE LONG CHAMP PURSE AND CONTENTS, GREEK THEATER. LOSS OF $150.00","UNDER INVESTIGATION"
"5/22/19 17:37","","MEDICAL EVENT","INJURY OR ILLNESS","BWW","","CLOSED"
"5/22/19 18:15","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","MLK","","CLOSED"
"5/22/19 18:34","19-01404","LARCENY/THEFT","GRAND THEFT -REPORT","SATHER GATE","OCC 05/22/2019 1815-18 (FA-23-S) REPORTS THEFT OF HER PINK HAND BAG, SATHER GATE. LOSS OF $540. 34","UNDER INVESTIGATION"
"5/22/19 19:08","19-01407","LARCENY/THEFT","AUTO BURGLARY -REPORT","REC SPRT FAC GARAGE","OCC 05/22/2019 0730-1800 (FB-46-E) REPORTS AUTO BURGLARY VIA SHAVED KEY, RSF GARAGE. TAKE OF A LAPTOP UNKNOWN LOSS","UNDER INVESTIGATION"
"5/22/19 19:16","19-01405","MEDICAL EVENT","INJURY OR ILLNESS","UNIVERSITY VILLAGE ALBANY","(FB-13-O) VICTIM OF INJURY, FIELDING FIELD. AFD RESPONDED TRANSPORTED TO CHILDRENS HOSPITAL OAKLAND","CLOSED"
"5/22/19 19:37","","LARCENY/THEFT","PETTY THEFT -REPORT","HAAS PAVILION","","CANCELLED"
"5/22/19 20:07","19-01406","WEAPONS VIOLATIONS","POSS KNIFE ON UNIV GROUNDS","PEOPLES PARK","WEATHERS, ADAM (MB-33-O) ARRESTED FOR POSSESSION OF A KNIFE ON CAMPUS, PEOPLES PARK. TOT BPD JAIL","CLOSED BY ARREST"
"5/22/19 20:16","","MAINTENANCE ISSUE","CAMPUS CONDITION -ELEVATOR","DAVIS HALL","","CLOSED"
"5/22/19 20:41","","MAINTENANCE ISSUE","CAMPUS CONDITION -SECURITY","NORTHGATE HALL","","CLOSED"
"5/22/19 20:48","","WELFARE CHECK","CHECK WELFARE- 911 CALL","1125 JACKSON STREET","","CLOSED"
"5/22/19 21:06","19-01409","LARCENY/THEFT","PETTY THEFT -REPORT","I HOUSE","05/22/2019 1300-1700 (MB-25-S) REPORTS THEFT OF 3 BOXES WITH CONTENT, IHOUSE. LOSS OF $ 3,515","UNDER INVESTIGATION"
"5/22/19 21:25","19-01408","TOW","TOWED VEHICLE-BLOCK DRIVEWAY","1750 WALNUT ST","GRAY CARRY ALL 6 GOLF CART TOWED FOR BLOCKING DRIVE WAY, 1750 WALNUT ST. EAST BAY TOW. OWNED BY CAL ATHLETICS GOLF CART NOT REPORTED AS STOLEN","UNDER INVESTIGATION"
"5/22/19 22:06","19-01410","MOTOR VEHICLE THEFT","VEHICLE THEFT","I HOUSE","OCC 05/22/2019 2206 FERDINAD, MIZAHN (MB-16-O) ARRESTED FOR THEFT OF A BLUE AND GOLD GOLF CART, IHOUSE. TOT BPD FOR CONNECTION TO ROBBERY WITH GOLF CART.","CLOSED BY ARREST"
"5/22/19 23:16","19-01411","MOTOR VEHICLE THEFT","VEHILE THEFT -ATT","DOE LIBRARY","ATTEMPTED THEFT OF A GOLF CART, S/SIDE DOE LIBRARY.","UNDER INVESTIGATION"
"5/22/19 16:03","","CLERY REPORTING","CLERY REPORTING","CAMPUS","OCCURRED: 05/15/2019 UNKNOWN TIME CSA REPORT OF A STALKING, CAMPUS.","CLOSED"
"5/23/19 0:18","","PEDESTRIAN STOP","SUSPECT STOP","ASUC","","CLOSED"
"5/23/19 0:30","","DISORDERLY CONDUCT","LODGING","LOWER SPROUL GARAGE","","CLOSED"
"5/23/19 6:19","19-01412","MISC. SERVICE","PROPERTY DAMAGE","BARROWS LANE","OCCURRED: 05/22/19 1900 - 05/23/19 PROPERTY DAMAGE TO D-15, BARROW LANE","UNDER INVESTIGATION"
"5/23/19 6:24","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE - REPORT","RICHMOND FIELD STATION","","CLOSED"
"5/23/19 7:47","","ALL OTHER OFFENSES","DISTURBING THE PEACE","CLARK KERR CAMPUS","","CLOSED"
"5/23/19 8:41","","ALARM","EMERGENCY ALARM","CLARK KERR CAMPUS","","CLOSED"
"5/23/19 10:22","19-01414","HAZARD","HAZARDOUS CONDITION","2224 PIEDMONT AV","","UNDER INVESTIGATION"
"5/23/19 10:29","","PEDESTRIAN STOP","PEDESTRIAN STOP","ANNA HEAD","","CLOSED"
"5/23/19 11:18","19-01413","MISC. SERVICE","CIVIL ADVICE","UCPD","OCCURRED: 05/23/19 1118 HOURS CIVIL ADVICE, UCPD","UNDER INVESTIGATION"
"5/23/19 11:32","","WELFARE CHECK","WELFARE CHECK","BARROWS LANE","","CLOSED"
"5/23/19 13:02","","WELFARE CHECK","CHECK WELFARE- 911 CALL","LBNL-50B","","CLOSED"
"5/23/19 13:09","","PEDESTRIAN STOP","SUSPECT STOP","TELE DURANT","","CLOSED"
"5/23/19 13:29","19-01415","MISC. SERVICE","LOST UC KEYS","LOS ANGELES","OCCD 5/17/2019 - 05/19/2019 (MXA-S) REPORTS THE LOSS 2 UC KEYS, LOS ANGELES.","UNDER INVESTIGATION"
"5/23/19 14:33","","SUPPLEMENT","SUPPLEMENT","SATHER GATE","","CLOSED"
"5/23/19 15:36","19-01417","MEDICAL EVENT","INJURY OR ILLNESS","GREEK THEATER","OCCD 05/23/2019, 1537 (FW-85-O) VICTIM OF ILLNESS, GREEK THEATER TO ABH VIA BFD.","CLOSED"
"5/23/19 15:38","19-01416","LARCENY/THEFT","PETTY THEFT -REPORT","TANG CENTER","OCCURRED: 05/23/19 1520-1535 HOURS (FA-26-S) REPORTS THE THEFT OF HER BACK PILLOW, 3RD TANG CENTER. UNKNOWN LOSS.","UNDER INVESTIGATION"
"5/23/19 16:44","19-01418","DRUG VIOLATIONS","POSSESION OF METHAMPHETAMINES","PEOPLES PARK","OCCURRED: 05/23/19 1702 HOURS BRAGG, DONNELL (MB-49-O) ARRESTED FOR POSSESSION OF METHAMPHETAMINES, POSSESSION OF A KNIFE ON UC CAMPUS, VIOLATION OF A COURT ORDER, VIOLATION OF PROBATION, PEOPLE`S PARK. TO BPD JAIL.","CLOSED BY ARREST"
"5/23/19 16:46","19-01419","MEDICAL EVENT","INJURY OR ILLNESS","BOWLES HALL","OCCURRED: 05/23/19 1646 HOURS (FB-44-E) VICTIM OF ILLNESS, BOWLES HALL. BFD RESPONDED AND TRANSPORTED TO KAISER OAKLAND","CLOSED"
"5/23/19 18:18","","WELFARE CHECK","CHECK WELFARE- 911 CALL","UNIVERSITY VILLAGE ALBANY","","CLOSED"
"5/23/19 19:34","","WELFARE CHECK","WELFARE CHECK","MOSES COURT LOT","","CLOSED"
"5/23/19 21:27","19-01420","ALL OTHER OFFENSES","EXCLUSION FROM CAMPUS","SODA HALL","(MA-26-O) ISSUED 7 DAY STAY AWAY ORDER FROM ALL UC PROPERTY, SODA HALL 6TH FLOOR.","UNDER INVESTIGATION"
"5/23/19 21:34","19-01421","DRUG VIOLATIONS","UNDER INFLU CONTROLLED SUBST","RED OAK/6TH ST","FLOWERS, BRYNNERE (MA-29-O) ARRESTED FOR BEING UNDER THE INFLUENCE OF A CONTROLLED SUBSTANCE AND PROBATION VIOLATION, 748 RED OAK AVE. TOT BPD JAIL","CLOSED BY ARREST"
"5/24/19 0:04","","ALL OTHER OFFENSES","DISTURBING THE PEACE","WITTER FIELD LOT","","CLOSED"
"5/24/19 0:23","","TRAFFIC STOP","TRAFFIC STOP","RICHMOND FIELD STATION","","WARNING ISSUED"
"5/24/19 0:48","","PEDESTRIAN STOP","SUSPECT STOP","2224 PIEDMONT BLDGS","","FIELD IDENTIFICATION CARD"
"5/24/19 2:23","","WELFARE CHECK","CHECK WELFARE- 911 CALL","UNIT-1 CHRISTIAN","","CLOSED"
"5/24/19 3:17","","PEDESTRIAN STOP","SUSPECT STOP","GENETICS & PLANT BIOLOGY","","CLOSED"
"5/24/19 7:53","","MISSING PERSON","MISSING JUVENILE","UVA-105","","CANCELLED"
"5/24/19 8:32","","ALARM","EMERGENCY ALARM","STANLEY HALL","","CLOSED"
"5/24/19 9:14","","PEDESTRIAN STOP","SUSPECT STOP","ANNA HEAD","","CLOSED"
"5/24/19 9:59","","TRAFFIC STOP","TRAFFIC STOP","BANC E STRUCTURE B","","WARNING ISSUED"
"5/24/19 10:00","19-01422","ALL OTHER OFFENSES","EXCLUSION FROM CAMPUS","ANNA HEAD LOT","OCCD 5/24/19, 1000 HRS (MB-59-O) CONTACTED FOR DISTURBING THE PEACE AND ISSUED A 7 DAY STAY AWAY ORDER FROM ALL UC PROPERTY, ANNA HEAD LOT.","UNDER INVESTIGATION"
"5/24/19 10:27","","TRAFFIC STOP","TRAFFIC STOP","HEARST OXFORD","","WARNING ISSUED"
"5/24/19 11:26","19-01423","MISC. SERVICE","CIVIL ADVICE","UPPER HEARST STRUCTURE","OCCD 05182019, 1000 (MA-46-O) GIVEN CIVIL ADVICE REGARDING VEHICLE COLLISION, UPPER HEARST STRUCTURE.","UNDER INVESTIGATION"
"5/24/19 12:43","","WELFARE CHECK","WELFARE CHECK","LI KA SHING","","CLOSED"
"5/24/19 14:29","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","UPPER HEARST STRUCTURE","","CLOSED"
"5/24/19 16:47","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","VALLEY LIFE SCIENCE BLDG","","CLOSED"
"5/24/19 16:54","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","FRANK SCHLESSINGER WAY","","CLOSED"
"5/24/19 16:55","","ALL OTHER OFFENSES","TRESPASS - FAIL TO LEAVE","MEMORIAL STADIUM","","CANCELLED"
"5/24/19 16:56","","WELFARE CHECK","CHECK WELFARE- 911 CALL","CHEIT HALL","","CLOSED"
"5/24/19 18:03","","MAINTENANCE ISSUE","CAMPUS CONDITION -ELEVATOR","CHOU HALL","","CANCELLED"
"5/24/19 18:41","19-01425","LARCENY/THEFT","GRAND THEFT -BIKE REPORT","UNIT-2","OCC 05/22/2019 1400-5/24/2019 1830 (MX-26-E) REPORTS THEFT OF BICYCLE PARTS FROM HER KUIPS ABYSS MENS ROAD BIKE, UNIT-2 COURTYARD. LOSS OF $1700","UNDER INVESTIGATION"
"5/24/19 18:49","","MOTOR VEHICLE THEFT","VEHILE THEFT -ATT","EVANS FIELD","","CLOSED"
"5/24/19 20:03","","WELFARE CHECK","CHECK WELFARE- 911 CALL","HAAS PAV/DANA CT","","CLOSED"
"5/24/19 20:12","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","VALLEY LIFE SCIENCE BLDG","","CLOSED"
"5/24/19 20:25","","PEDESTRIAN STOP","SUSPECT STOP","B/T BOLLARDS","","CLOSED"
"5/24/19 20:46","19-01426","MEDICAL EVENT","INJURY OR ILLNESS","VALLEY LIFE SCIENCE BLDG","(MW-35-O) VICTIM OF ILLNESS, VLSB. BFD RESPONDED TOT ABH","CLOSED"
"5/24/19 20:54","","LARCENY/THEFT","AUTO BURGLARY -REPORT","FIELDING FIELD WEST","","CLOSED"
"5/24/19 21:32","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","REC SPRT FAC GARAGE","","CLOSED"
"5/24/19 22:10","","LARCENY/THEFT","PETTY THEFT -REPORT","SATHER TOWER","","CLOSED"
"5/25/19 0:22","","DISORDERLY CONDUCT","LODGING","UNIT-2","","CLOSED"
"5/25/19 1:01","","OUTSIDE ASSIST","OUTSDE ASSIST BPD COVER","2332 CHANNING WAY","","CLOSED"
"5/25/19 1:16","","PEDESTRIAN STOP","SUSPECT STOP","PIEDMONT BLDGS","","CLOSED"
"5/25/19 2:30","19-01427","DRUG VIOLATIONS","POSSESION OF METHAMPHETAMINES","KULA GULF WAY","BELL, JANAE (MB-40-O) ARRESTED FOR POSSESSION OF DRUG PARAPHERNALIA, POSSESSION OF METHAMPHETAMINES, POSSESSION OF CANNABIS, AND PROBATION VIOLATION, OHLONE AVE/WEST END WAY. TO SANTA RITA JAIL.","CLOSED BY ARREST"
"5/25/19 8:10","","ALL OTHER OFFENSES","RULE VIOLATION","CKC-25","","CLOSED"
"5/25/19 8:35","","PEDESTRIAN STOP","SUSPECT STOP","ASUC GARAGE","","FIELD IDENTIFICATION CARD"
"5/25/19 8:26","19-01428","MISSING PERSON","MISSING PERSON","2233 CHANNING WAY","OCCD 5/25/19, 0836 HRS (FK-19-S) REPORTED AS A MISSING PERSON, 2233 CHANNING WAY. SUBJECT LOCATED, PROVES OKAY.","UNDER INVESTIGATION"
"5/25/19 8:56","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","HILLSIDE","","CLOSED"
"5/25/19 12:30","","TRAFFIC STOP","TRAFFIC STOP","DANA AND HASTE","","WARNING ISSUED"
"5/25/19 19:36","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","BARKER HALL","","CLOSED"
"5/25/19 20:02","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","STRUCTURE C","","CLOSED"
"5/25/19 20:21","","TRAFFIC STOP","TRAFFIC STOP","2500 DURANT","","CLOSED BY CITATION"
"5/25/19 21:07","","PEDESTRIAN STOP","SUSPECT STOP","CKC-16","","CLOSED"
"5/25/19 21:14","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","CENTENNIAL DR","","CLOSED"
"5/25/19 21:22","19-01429","MEDICAL EVENT","MENTALLY ILL COMMITMENT","GRIZZLY PEAK BLVD","OCCD 05/25/2019 2122 HRS (FW-26-O) TRANSPORTED TO ABH VIA UCPD FOR PSYCHIATRIC EVALUATION, LHS VISTA LOT.","CLOSED"
"5/26/19 1:07","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","UNIVERSITY VILLAGE ALBANY","","CLOSED"
"5/26/19 1:14","","OUTSIDE ASSIST","OUTSDE ASSIST BPD COVER","2500 DURANT","","CLOSED"
"5/26/19 1:18","","TRAFFIC STOP","TRAFFIC STOP","CHANNING/TELE","","WARNING ISSUED"
"5/26/19 1:51","","","SHOT SPOTTER NOTIFICATION","2360 TELEGRAPH AV","","CLOSED"
"5/26/19 2:29","","TRAFFIC STOP","TRAFFIC STOP","OXFORD/ADDISON","","WARNING ISSUED"
"5/26/19 5:00","","TRAFFIC STOP","TRAFFIC STOP","2400 BANCROFT","","WARNING ISSUED"
"5/26/19 7:56","","PEDESTRIAN STOP","SUSPECT STOP","MILVIA ADDISON","","FIELD IDENTIFICATION CARD"
"5/26/19 8:40","","TRAFFIC STOP","TRAFFIC STOP","DWIGHT/TELE","","WARNING ISSUED"
"5/26/19 9:32","","PEDESTRIAN STOP","SUSPECT STOP","CHANNING W TELE","","FIELD IDENTIFICATION CARD"
"5/26/19 9:41","","PEDESTRIAN STOP","SUSPECT STOP","CHANNING DANA","","CLOSED"
"5/26/19 9:52","","WELFARE CHECK","WELFARE CHECK","BAN COLL","","CLOSED"
"5/26/19 10:28","","PEDESTRIAN STOP","PEDESTRIAN STOP","PEOPLES PARK","","CLOSED"
"5/26/19 10:46","19-01430","MEDICAL EVENT","MENTALLY ILL COMMITMENT","PEOPLES PARK","OCCD 05/26/2019, 1046 (MW-35-O) TRANSPORTED TO JGP VIA PARAMEDICS PLUS FOR PSYCHIATRIC EVALUATION, PEOPLES PARK.","CLOSED"
"5/26/19 11:26","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","OHLONE AVE","","CLOSED BY CITATION"
"5/26/19 11:46","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","RED OAK AND 6TH","","CLOSED"
"5/26/19 12:25","","MISC. SERVICE","CIVIL ADVICE","UCPD","","CLOSED"
"5/26/19 12:52","","TRAFFIC STOP","TRAFFIC STOP","PARKER/HILLEGASS","","CLOSED BY CITATION"
"5/26/19 13:37","","MAINTENANCE ISSUE","CAMPUS CONDITION -SECURITY","WURSTER HALL","","CLOSED"
"5/26/19 14:23","","TRAFFIC STOP","TRAFFIC STOP","HEARST/SPRUCE","","CLOSED BY CITATION"
"5/26/19 16:04","","TRAFFIC STOP","TRAFFIC STOP","CHAN E TELE","","WARNING ISSUED"
"5/26/19 16:27","","PEDESTRIAN STOP","PEDESTRIAN STOP","TANG CENTER","","FIELD IDENTIFICATION CARD"
"5/26/19 19:24","","TRAFFIC STOP","TRAFFIC STOP","CHANNING/UNIT-3","","CLOSED BY CITATION"
"5/26/19 20:02","","WELFARE CHECK","CHECK WELFARE- 911 CALL","660 KINKEAD WAY","","CLOSED"
"5/26/19 20:23","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","UVA OFFICE","","FIELD IDENTIFICATION CARD"
"5/26/19 20:34","","TRAFFIC STOP","TRAFFIC STOP","SAN PABLO/HOPKINS","","CLOSED BY CITATION"
"5/26/19 21:04","","MAINTENANCE ISSUE","CAMPUS CONDITION -GROUNDS","KROEBER HALL","","CLOSED"
"5/26/19 21:19","","ALL OTHER OFFENSES","TRESPASS - FAIL TO LEAVE","MLK","","CLOSED"
"5/26/19 22:29","19-01431","MISC. SERVICE","FOUND PROPERTY","SATHER GATE","FOUND NINEBOT SEGWAY SCOOTER, SATHER GATE. BROUGHT TO UCPD FOR SAFE KEEPING","UNDER INVESTIGATION"
"5/26/19 22:32","","TRAFFIC STOP","TRAFFIC STOP","BANC DANA","","WARNING ISSUED"
"5/26/19 23:20","","PEDESTRIAN STOP","SUSPECT STOP","WARREN HALL","","CLOSED"
"5/26/19 23:30","","TRAFFIC STOP","TRAFFIC STOP","BANC/DANA","","CLOSED BY CITATION"
"5/27/19 1:47","19-01432","ALL OTHER OFFENSES","WARRANT ARREST","UNIT-1","KOZLOWSKI, CHRISTOPHER (MW-30-O) ARRESTED FOR 2 MISDEMEANOR WARRANT OUT OF VENTURA CO SO FOR $5,000 AND SAN BERNADINO FOR $175,000, UNIT-1. TOT BPD JAIL","CLOSED BY ARREST"
"5/27/19 3:23","","ALL OTHER OFFENSES","TRESPASS-CULTIVATED, FENCED, POSTED LAND","AQUATIC CENTER","","FIELD IDENTIFICATION CARD"
"5/27/19 6:20","","TRAFFIC STOP","TRAFFIC STOP","DWIGHT/PIEDMONT","","WARNING ISSUED"
"5/27/19 7:01","","DISORDERLY CONDUCT","LODGING","CLARK KERR CAMPUS","","FIELD IDENTIFICATION CARD"
"5/27/19 11:06","19-01433","DRUG VIOLATIONS","POSSESION OF METHAMPHETAMINES","PEOPLES PARK","OCCD 05/27/2019, 1106 FRISELLA, DOROTHY (FW-32-O) CITED FOR POSSESSION OF METHAMPHETAMINES, PEOPLES PARK.","CLOSED BY CITATION"
"5/27/19 11:38","","MISC. SERVICE","CIVIL ADVICE","UCPD LOBBY","","CLOSED"
"5/27/19 11:53","","WELFARE CHECK","CHECK WELFARE- 911 CALL","LAWRENCE HALL OF SCIENCE","","CLOSED"
"5/27/19 11:50","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","DWINELLE HALL","","CLOSED"
"5/27/19 12:28","","PEDESTRIAN STOP","PEDESTRIAN STOP","DWINELLE HALL","","FIELD IDENTIFICATION CARD"
"5/27/19 12:29","","WELFARE CHECK","WELFARE CHECK","LAWRENCE HALL OF SCIENCE","","CLOSED"
"5/27/19 12:43","","PEDESTRIAN STOP","PEDESTRIAN STOP","DWINELLE HALL","","CLOSED"
"5/27/19 13:08","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","PEOPLES PARK","","CLOSED"
"5/27/19 13:20","","WELFARE CHECK","CHECK WELFARE- 911 CALL","WURSTER HALL","","CLOSED"
"5/27/19 13:40","","WELFARE CHECK","CHECK WELFARE- 911 CALL","DOE LIBRARY","","CLOSED"
"5/27/19 14:19","19-01434","FORGERY AND COUNTERFEITING","FRAUDULENT USE OF CREDIT CARD","UCPD","OCCD 05/27/2019, 1419 (MAA-S) REPORTS FRADULENT USE OF HIS CREDIT CARD, CAMPUS. LOSS: $848.41.","UNDER INVESTIGATION"
"5/27/19 17:45","","WELFARE CHECK","CHECK WELFARE- 911 CALL","1125 JACKSON STREET","","CLOSED"
"5/27/19 18:51","19-01435","LARCENY/THEFT","GRAND THEFT -BIKE REPORT","LIFE SCIENCE ADDITION","OCCURED: 05/24/19 1200- 05/27/19 1000. (MW-26-S) REPORTS THEFT OF HIS RED RIDLEY FENIX 7005 ROAD BICYCLE, VALUE: $1300, E/S LSA,","UNDER INVESTIGATION"
"5/27/19 19:11","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","RICHMOND FIELD STATION","","CLOSED"
"5/27/19 19:22","19-01437","LARCENY/THEFT","PETTY THEFT -REPORT","625 WEST END WAY"," OCCURED: 05/27/19 1000-1730 (MA-32-S) REPORTS THEFT OF A REAR LICENSE PLATE TO A BLACK 2014 HONDA CIVIC, 7GSL189, 625 WEST END WAY.","UNDER INVESTIGATION"
"5/27/19 20:20","19-01436","DRUG VIOLATIONS","POSSESSION OF NARCOTICS","MONTGOMERY/S 49TH","FERNANDEZ, ERNIE (MH-54-O) ARRESTED FOR POSSESSION OF NARCOTICS AND POSSESSION OF PARAPHERNALIA, MONTGOMERY/S 49TH. CITED AND RELEASED ON SCENE. VEHICLE TOWED FOR REGISTRATION EXPIRED OVER 6 MONTHS, GREEN 1996 FORD RANGER XLT, 5J90833. M&A TOW","CLOSED BY ARREST"
"5/27/19 20:21","","PEDESTRIAN STOP","SUSPECT STOP","WEST CRESCENT","","FIELD IDENTIFICATION CARD"
"5/27/19 20:21","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","CKC-25","","CLOSED"
"5/27/19 21:06","","MAINTENANCE ISSUE","CAMPUS CONDITION -SECURITY","STANLEY HALL","","CLOSED"
"5/27/19 21:48","","PEDESTRIAN STOP","SUSPECT STOP","JACKSON/MONROE","","FIELD IDENTIFICATION CARD"
"5/27/19 22:29","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","STRAWBERRY REC CENTER","","CLOSED"
"5/27/19 22:32","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","WITTER FIELD LOT","","CLOSED"
"5/27/19 22:35","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","WITTER FIELD LOT","","CLOSED"
"5/27/19 22:40","","TRAFFIC STOP","TRAFFIC STOP","WARRING/PARKER","","WARNING ISSUED"
"5/27/19 23:47","","PEDESTRIAN STOP","SUSPECT STOP","ASUC GARAGE","","FIELD IDENTIFICATION CARD"
"5/27/19 23:50","","TRAFFIC STOP","TRAFFIC STOP","BUCHANNA/PIERCE","","WARNING ISSUED"
"5/28/19 0:19","","TRAFFIC STOP","TRAFFIC STOP","BUCCHANAN/ 580 OVERPASS","","CLOSED BY CITATION"
"5/28/19 0:39","","PEDESTRIAN STOP","SUSPECT STOP","DWINELLE HALL","","FIELD IDENTIFICATION CARD"
"5/28/19 0:50","","PEDESTRIAN STOP","SUSPECT STOP","ANNA HEAD","","FIELD IDENTIFICATION CARD"
"5/28/19 3:12","","TRAFFIC STOP","TRAFFIC STOP","HASTE W SHATTUCK","","CLOSED BY CITATION"
"5/28/19 5:14","19-01438","OUTSIDE ASSIST","OUTSIDE ASSIST - BPD","BANCROFT/BARROWS","OA TO BPD REGARDING BATTERY, 2530 BANCROFT.","UNDER INVESTIGATION"
"5/28/19 5:24","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","VALLEY LIFE SCIENCE BLDG","","FIELD IDENTIFICATION CARD"
"5/28/19 5:41","","MISC. SERVICE","TIP411 SERVICE CALL","UCPD","","CLOSED"
"5/28/19 7:40","","MOTOR VEHICLE THEFT","VEHICLE THEFT -REPORT","HAAS PAVILION","","CLOSED"
"5/28/19 8:42","19-01439","LARCENY/THEFT","PETTY THEFT -REPORT","I HOUSE","OCCD 05/26-2019 - 05/28/2019 1400 - 0500 HRS (FW-30-S) REPORTS THE THEFT OF MISCELLANEOUS BATHROOM SUPPLIES, IHOUSE. LOSS $650.","UNDER INVESTIGATION"
"5/28/19 8:58","","WELFARE CHECK","CHECK WELFARE- 911 CALL","HEARST MINING BUILDING","","CLOSED"
"5/28/19 10:03","","MOTOR VEHICLE THEFT","VEHICLE THEFT -REPORT","EDWARDS TRACK","","CLOSED"
"5/28/19 10:09","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","PEOPLES PARK","","WARNING ISSUED"
"5/28/19 10:39","19-01446","MISC. SERVICE","FOUND PROPERTY","MLK","FOUND GREY KINDLE, MLK. TAKEN TO UCPD FOR SAFEKEEPING.","UNDER INVESTIGATION"
"5/28/19 10:41","19-01441","DRUG VIOLATIONS","UNDER INFLU CONTROLLED SUBST","DOE LIBRARY","OCCD 05/28/2019 1041 HRS YOUNG, JAMES (MB-29-O) ARRESTED FOR BEING UNDER THE INFLUENCE OF A CONTROLLED SUBSTANCE, PROVIDING FALSE INFO TO A POLICE OFFICER AND ON A BART PD MISDEMEANOR WARRANT, DOE LIBRARY. TO SANTA RITA JAIL.","CLOSED BY ARREST"
"5/28/19 10:46","","MISC. SERVICE","FOUND PROPERTY","BWW","","CLOSED"
